tag,length,average_ratio,point
top304,6,0.0,-50
top304,3,0.0,-50
top304,1,0.0,-50
top304,2,0.0,-50
top304,14,0.0,-50
top304,16,0.0,-50
top204,14,0.0,-50
top204,16,0.0,-50
top304,4,0.125,-50
top304,11,0.1487603305785124,-50
top204,11,0.1487603305785124,-50
top304,5,0.16,-50
top304,8,0.1875,-50
top204,8,0.1875,-50
top304,7,0.20408163265306123,-50
top304,12,0.20833333333333334,-50
top204,12,0.20833333333333334,-50
top304,9,0.2222222222222222,-50
top204,9,0.2222222222222222,-50
top304,13,0.2366863905325444,-50
top204,13,0.2366863905325444,-50
top304,17,0.24221453287197228,-50
top204,17,0.24221453287197228,-50
top304,19,0.26038781163434904,-50
top204,19,0.26038781163434904,-50
top304,15,0.28444444444444444,-50
top204,15,0.28444444444444444,-50
top304,20,0.31,-50
top204,20,0.31,-50
top304,18,0.3148148148148148,-50
top204,18,0.3148148148148148,-50
top304,10,0.32,-50
top204,10,0.32,-50
random,8,0.3212890625,90
random,16,0.325225830078125,90
random,22,0.3253486570247933,90
random,9,0.32542438271604945,90
random,26,0.32659948224852037,90
random,80,0.32800292968750017,96
random,43,0.328006692806923,90
random,12,0.3280707465277777,90
random,66,0.32844245006887063,96
random,143,0.328984990097315,97
random,41,0.3290359161213562,90
random,27,0.3290573559670784,90
random,59,0.3291439241597242,90
random,39,0.3291933760683761,90
random,28,0.32920121173469374,90
random,187,0.3292159216019903,97
random,76,0.32928145559210514,96
random,45,0.32928626543209855,90
random,20,0.32958984374999994,90
random,210,0.329624787414966,99
random,126,0.32963277903754107,96
random,172,0.3296719721809086,97
random,69,0.32974132272631795,96
random,92,0.329802139945652,96
random,222,0.32981387214917646,99
random,46,0.329838137996219,90
random,116,0.32987027162604043,96
random,75,0.32988888888888895,96
random,33,0.32988980716253424,90
random,67,0.3299036533749164,96
random,84,0.32991425736961466,96
random,154,0.32991868622448955,97
random,95,0.32993507617728507,96
random,72,0.3299545476466048,96
random,130,0.3300208025147929,97
random,161,0.33007895384051555,97
random,254,0.33010270708041434,100
random,220,0.33011896306818156,99
random,247,0.33012073526037156,100
random,34,0.3301524653979238,90
random,65,0.33016087278106504,96
random,21,0.33016227324263064,90
random,90,0.330178433641975,96
random,166,0.33019408205109607,97
random,81,0.33019690214906267,96
random,141,0.33020573977667106,97
random,184,0.3302516540642721,97
random,243,0.3302660978594052,100
random,114,0.3302987457679284,96
random,58,0.33037771254458986,90
random,208,0.33042916743713036,99
random,36,0.33045789930555547,90
random,200,0.3304697265625002,98
random,238,0.3304960311330415,100
random,153,0.3305219146482122,97
random,123,0.3305386178861789,96
random,113,0.3305527547184589,96
random,133,0.33057797218610446,97
random,71,0.3305845194405874,96
random,209,0.3305997959639205,99
random,51,0.3306210351787776,90
random,250,0.33063687500000005,100
random,150,0.33063715277777767,97
random,74,0.3306545037436086,96
random,189,0.3306635540018475,97
random,120,0.33068413628472215,96
random,62,0.3307081653225808,90
random,149,0.33070863925048416,97
random,232,0.33071503883026143,100
random,14,0.33071588010204067,90
random,85,0.3307515138408304,96
random,194,0.33077787889254967,98
random,32,0.330780029296875,90
random,230,0.3307837606332702,100
random,19,0.33078687673130175,90
random,156,0.3307869514299803,97
random,82,0.33081475870017857,96
random,180,0.33081766010802494,97
random,135,0.3308217592592593,97
random,121,0.33082930639983577,96
random,159,0.3308728640085439,97
random,148,0.33087706583272464,97
random,181,0.33087908450596737,97
random,144,0.3308938108844521,97
random,79,0.3308989945521552,96
random,122,0.33093055042327346,96
random,173,0.3309321644558789,97
random,169,0.330933681418718,97
random,119,0.33093421192006217,96
random,163,0.33093578277315666,97
random,255,0.33093954248366,100
random,225,0.3309604938271604,99
random,138,0.3309695639046419,97
random,155,0.33097196930280975,97
random,192,0.3309756384955511,98
random,147,0.3309883902540609,97
random,178,0.3310089477338721,97
random,44,0.33101029829545453,90
random,68,0.3310208964100347,96
random,191,0.33103661837668935,97
random,29,0.3310419143876336,90
random,152,0.33105198234072025,97
random,175,0.33105561224489843,97
random,55,0.3310640495867771,90
random,40,0.3311035156250001,90
random,203,0.3311130077774272,98
random,205,0.3311131766805471,99
random,252,0.3311302240803728,100
random,165,0.33113320707070704,97
random,186,0.33114490295120824,97
random,117,0.3311674747972826,96
random,235,0.33118393503847876,100
random,125,0.331197,96
random,54,0.33120338220164597,90
random,109,0.33120370760037027,96
random,190,0.33123117209141256,97
random,185,0.33123813002191393,97
random,104,0.33124248798076916,96
random,227,0.3312441477129384,99
random,96,0.33124796549479174,96
random,151,0.3312502055830884,97
random,158,0.33125419353869556,97
random,93,0.33126120071684584,96
random,118,0.3312631293091065,96
random,218,0.3313053010058075,99
random,86,0.33130978738507294,96
random,193,0.3313130050471153,98
random,249,0.33134458012774,100
random,56,0.3313461615114798,90
random,219,0.331355000677634,99
random,242,0.33135917543200577,100
random,221,0.3313769425277944,99
random,170,0.3313819204152246,97
random,246,0.33139544190792514,100
random,251,0.3313968974698816,100
random,97,0.3314072629928791,96
random,11,0.3314178719008263,90
random,217,0.3314435165325235,99
random,106,0.3314541429334281,96
random,160,0.33147521972656224,97
random,128,0.3314990997314453,97
random,241,0.33152354040047516,100
random,107,0.3315252696742073,96
random,248,0.3315348391974504,100
random,198,0.33156434132996665,98
random,216,0.3315707652820647,99
random,202,0.3315801606460152,98
random,214,0.33159657775788276,99
random,137,0.33161271578134166,97
random,237,0.3316171119745765,100
random,124,0.33162883714880337,96
random,112,0.3316307846380738,96
random,37,0.33163463294375434,90
random,229,0.3316505394157245,99
random,73,0.33165081394257817,96
random,99,0.33165461432506893,96
random,188,0.33166741526143045,97
random,140,0.33167689732142824,97
random,110,0.3316871126033059,96
random,94,0.3317492007129923,96
random,234,0.3317578781320769,100
random,129,0.33178031668769886,97
random,211,0.33182971238292047,99
random,206,0.3318379441983221,99
random,179,0.3318438680128586,97
random,223,0.33185678879527053,99
random,176,0.33186554711712307,97
random,253,0.3318780122717117,100
random,98,0.3318831997084548,96
random,164,0.3319017000669247,97
random,57,0.3319242459218221,90
random,240,0.33193291558159715,100
random,204,0.3319343822087657,98
random,245,0.33193838504789663,100
random,78,0.3319593400723209,96
random,226,0.33196792524864904,99
random,167,0.33198320798522724,97
random,233,0.3319858477315847,100
random,142,0.33203434958341616,97
random,131,0.3320505980129363,97
random,213,0.3320947053604887,99
random,201,0.3321523987648819,98
random,174,0.3321569167822696,97
random,83,0.3321599651618523,96
random,134,0.3321717845010026,97
random,103,0.33217889881232915,96
random,239,0.33218778448381503,100
random,89,0.33218955150864793,96
random,77,0.3322308778883455,96
random,177,0.3322470793833191,97
random,87,0.3323021948077686,96
random,115,0.33230801039697566,96
random,162,0.3323182203551288,97
random,108,0.332357440629287,96
random,53,0.3323580455678179,90
random,207,0.33236408667646844,99
random,145,0.33238183709869223,97
random,171,0.3324075677131428,97
random,168,0.3324182211947279,97
random,139,0.33241963084208886,97
random,48,0.3324449327256943,90
random,70,0.332452168367347,96
random,195,0.3324665105193951,98
random,23,0.33248168714555787,90
random,199,0.3324848962147421,98
random,197,0.33249878410935596,98
random,244,0.3325713643845742,100
random,61,0.33257188927707604,90
random,236,0.33265853921286975,100
random,136,0.3326775045955883,97
random,47,0.3326908386147578,90
random,91,0.3326911755826589,96
random,105,0.33276927437641696,96
random,35,0.33278698979591836,90
random,157,0.3328136410199197,97
random,13,0.3328402366863906,90
random,183,0.3328522985159308,97
random,224,0.3329069176498726,99
random,212,0.3329172484091314,99
random,215,0.3329313142239049,99
random,102,0.33296763864859663,96
random,24,0.3330213758680557,90
random,49,0.33308387130362344,90
random,38,0.3331133137119115,90
random,196,0.33322744754789685,98
random,231,0.33324665954536115,100
random,228,0.33324992425554023,99
random,100,0.3334242187500001,96
random,132,0.33347098470500436,97
random,88,0.3335223237345042,96
random,127,0.3335441983383965,96
random,182,0.3335982784385946,97
random,146,0.3336054049774817,97
random,31,0.3336937434963578,90
random,101,0.3337502144397611,96
random,25,0.3337750000000001,90
random,63,0.3338982583774252,90
random,42,0.3339710884353741,90
random,111,0.3340175056813571,96
random,18,0.3343219521604937,90
random,64,0.33432960510253906,96
random,17,0.33442365916955014,90
random,30,0.3344704861111111,90
random,50,0.3345812499999999,90
random,15,0.3347916666666668,90
random,60,0.33519097222222216,90
random,52,0.3370469674556214,90
random,10,0.33765624999999977,90
top304,26,0.38461538461538464,-50
top204,26,0.38461538461538464,-50
sorted,9,0.49382716049382513,0
sorted,11,0.4956095041322342,0
sorted,13,0.49685650887574306,0
sorted,15,0.49750000000000316,0
sorted,8,0.498046875,0
sorted,17,0.49821583044982837,0
sorted,19,0.49857167590027823,0
sorted,10,0.49867187500000015,0
sorted,21,0.4987953514739231,0
sorted,23,0.4989366729678633,0
sorted,14,0.49896364795918385,0
sorted,12,0.4991861979166668,0
sorted,25,0.4992000000000012,0
sorted,27,0.4992712620027402,0
sorted,29,0.4993311533888203,0
sorted,16,0.4993896484375,0
sorted,18,0.49939718364197505,0
sorted,31,0.4994471904266404,0
sorted,33,0.4994691230486697,0
sorted,35,0.49952806122449045,0
sorted,22,0.4995318956611574,0
sorted,24,0.4995659722222219,0
sorted,20,0.49957031250000017,0
sorted,28,0.4995914381377552,0
sorted,39,0.4995993589743578,0
sorted,43,0.49961127636560104,0
sorted,37,0.49961194302410733,0
sorted,41,0.49962819750148674,0
sorted,30,0.499661458333334,0
sorted,26,0.49966484837278147,0
sorted,47,0.49969584653689403,0
sorted,45,0.49969907407407627,0
sorted,49,0.49972016867971847,0
sorted,51,0.49974168589004087,0
sorted,40,0.49974609375000023,0
sorted,36,0.49975284529320974,0
sorted,42,0.49976084183673475,0
sorted,44,0.49976998321280935,0
sorted,55,0.49977272727272615,0
sorted,57,0.4997739689135099,0
sorted,53,0.49977750088999756,0
sorted,38,0.4997781769390584,0
sorted,34,0.4997837370242218,0
sorted,48,0.49978976779513856,0
sorted,32,0.49979400634765625,0
sorted,63,0.4997992252456526,0
sorted,50,0.49981562500000026,0
sorted,59,0.4998159652398743,0
sorted,52,0.49982086723372826,0
sorted,46,0.4998227788279772,0
sorted,61,0.49982363611932207,0
sorted,71,0.4998264233287026,0
sorted,56,0.49983059630101956,0
sorted,67,0.49983640565827814,0
sorted,65,0.49983727810650763,0
sorted,58,0.49983975549940474,0
sorted,75,0.49984166666666957,0
sorted,64,0.499847412109375,0
sorted,66,0.49985113923324187,0
sorted,69,0.4998555975635357,0
sorted,62,0.4998577328303855,0
sorted,72,0.4998583381558638,0
sorted,79,0.4998597981092763,0
sorted,54,0.49986068244170023,0
sorted,70,0.4998612882653063,0
sorted,68,0.49986145653114217,0
sorted,60,0.4998632812500005,0
sorted,85,0.49986591695501537,0
sorted,82,0.4998663834770968,0
sorted,77,0.4998682324169332,0
sorted,81,0.49986901768023245,0
sorted,73,0.4998709889285076,0
sorted,74,0.49987159879474113,0
sorted,76,0.49987556267312944,0
sorted,91,0.4998792416374813,0
sorted,83,0.49987979024532064,0
sorted,92,0.4998855446597363,0
sorted,87,0.49988852556480434,0
sorted,84,0.49989038584183676,0
sorted,89,0.4998915067541981,0
sorted,99,0.49989478114478164,0
sorted,94,0.49989478412177435,0
sorted,96,0.49989573160807366,0
sorted,95,0.499896121883655,0
sorted,80,0.499896240234374,0
sorted,90,0.49989679783950697,0
sorted,103,0.4998969035724364,0
sorted,78,0.49989727153188646,0
sorted,108,0.4998981910150884,0
sorted,100,0.49989843749999874,0
sorted,88,0.4998991154442142,0
sorted,97,0.4999003613561504,0
sorted,93,0.499900638802175,0
sorted,105,0.4999007936507914,0
sorted,102,0.4999016303825446,0
sorted,86,0.4999017627771762,0
sorted,106,0.49990335194909274,0
sorted,98,0.4999056382757191,0
sorted,118,0.4999068604567657,0
sorted,107,0.49990719713512327,0
sorted,120,0.49990885416666764,0
sorted,104,0.4999089889977821,0
sorted,131,0.49990986102208596,0
sorted,101,0.4999111606705218,0
sorted,112,0.4999121841119254,0
sorted,109,0.49991320175069526,0
sorted,111,0.4999150332765186,0
sorted,121,0.4999156905266005,0
sorted,133,0.49991785148962886,0
sorted,123,0.49992150836142313,0
sorted,140,0.4999218749999989,0
sorted,117,0.4999223829352005,0
sorted,149,0.4999225823161101,0
sorted,110,0.49992316632231354,0
sorted,127,0.4999234685969393,0
sorted,129,0.49992394537587653,0
sorted,116,0.4999245225178353,0
sorted,119,0.49992496998799635,0
sorted,143,0.4999251185877068,0
sorted,135,0.49992541152263265,0
sorted,166,0.4999257194440425,0
sorted,115,0.49992674858223135,0
sorted,161,0.4999270620346446,0
sorted,114,0.4999272612726986,0
sorted,158,0.4999273954494464,0
sorted,146,0.49992743127228517,0
sorted,113,0.49992780366512474,0
sorted,134,0.4999282099298296,0
sorted,155,0.4999284599375658,0
sorted,122,0.49992913951222756,0
sorted,126,0.499929630416981,0
sorted,130,0.4999297337278103,0
sorted,124,0.4999298826092616,0
sorted,136,0.4999298834883211,0
sorted,125,0.4999299999999989,0
sorted,137,0.49993007086152574,0
sorted,169,0.4999310685900342,0
sorted,165,0.4999311294765836,0
sorted,139,0.49993126002794736,0
sorted,144,0.499931429639276,0
sorted,181,0.4999327515948846,0
sorted,162,0.4999330204046645,0
sorted,164,0.4999334822092522,0
sorted,132,0.4999336403810839,0
sorted,148,0.4999340160472958,0
sorted,157,0.4999340744046426,0
sorted,142,0.49993413385240965,0
sorted,147,0.4999341998704248,0
sorted,171,0.49993587770596115,0
sorted,174,0.4999362634595063,0
sorted,138,0.4999364136998522,0
sorted,153,0.4999365895595721,0
sorted,187,0.49993699776945383,0
sorted,154,0.49993708097908557,0
sorted,173,0.4999378738013277,0
sorted,152,0.4999381194814757,0
sorted,175,0.4999382653061218,0
sorted,141,0.4999386977516204,0
sorted,192,0.4999387529161232,0
sorted,168,0.4999391032454634,0
sorted,128,0.4999394416809082,0
sorted,167,0.49993949227293727,0
sorted,190,0.49993962084487487,0
sorted,198,0.49993981800326537,0
sorted,200,0.49994023437499896,0
sorted,215,0.4999405083829111,0
sorted,145,0.4999405469678945,0
sorted,185,0.4999406501095676,0
sorted,177,0.4999411487758957,0
sorted,163,0.49994119086153355,0
sorted,189,0.49994138601942634,0
sorted,180,0.4999421296296285,0
sorted,206,0.49994237646102224,0
sorted,207,0.4999423848864598,0
sorted,156,0.49994317831607454,0
sorted,219,0.49994331331707037,0
sorted,150,0.49994375000000113,0
sorted,159,0.49994375716941514,0
sorted,151,0.4999444925661167,0
sorted,170,0.49994458261245567,0
sorted,183,0.4999449446086781,0
sorted,222,0.49994531059775876,0
sorted,214,0.4999459218599888,0
sorted,212,0.49994593966936723,0
sorted,191,0.4999460335517126,0
sorted,220,0.49994608729338896,0
sorted,160,0.49994628906249916,0
sorted,205,0.49994646044021285,0
sorted,195,0.4999465811965827,0
sorted,184,0.4999466951943536,0
sorted,176,0.4999470356082139,0
sorted,199,0.49994712886037923,0
sorted,172,0.4999471842888053,0
sorted,221,0.4999475338342787,0
sorted,204,0.4999476238105531,0
sorted,210,0.4999477395124703,0
sorted,197,0.4999484655621124,0
sorted,182,0.49994929092198936,0
sorted,201,0.4999493360312858,0
sorted,213,0.4999493734708693,0
sorted,229,0.4999496457924158,0
sorted,203,0.4999503294183324,0
sorted,196,0.49995098884579275,0
sorted,227,0.49995118040326686,0
sorted,208,0.4999512441059533,0
sorted,241,0.4999513072261171,0
sorted,240,0.4999513075086801,0
sorted,246,0.49995197551060794,0
sorted,237,0.4999521533230075,0
sorted,179,0.49995220966886333,0
sorted,255,0.49995242214532654,0
sorted,186,0.4999525776101289,0
sorted,228,0.4999526597126045,0
sorted,230,0.4999527410207946,0
sorted,178,0.4999529040682999,0
sorted,194,0.49995308680518785,0
sorted,188,0.49995313914667416,0
sorted,235,0.49995331598008264,0
sorted,193,0.49995385782168866,0
sorted,254,0.49995398428296917,0
sorted,253,0.49995410801606177,0
sorted,216,0.4999542864261828,0
sorted,223,0.4999547547708602,0
sorted,226,0.4999548772907034,0
sorted,243,0.4999550161730081,0
sorted,234,0.4999553416520549,0
sorted,249,0.49995539386461807,0
sorted,218,0.4999556145316059,0
sorted,242,0.49995584424731776,0
sorted,224,0.4999559363540353,0
sorted,202,0.49995615472747723,0
sorted,225,0.4999561728395095,0
sorted,247,0.49995646134176985,0
sorted,217,0.4999565317802464,0
sorted,250,0.49995674999999906,0
sorted,239,0.49995678034348107,0
sorted,211,0.4999575340850412,0
sorted,238,0.4999577956182483,0
sorted,245,0.4999583506872149,0
sorted,248,0.49995859009169985,0
sorted,232,0.49995892283182314,0
sorted,236,0.4999590410442385,0
sorted,231,0.49995959127452705,0
sorted,209,0.49996029452164725,0
sorted,244,0.4999603706160993,0
sorted,252,0.4999608784486026,0
sorted,233,0.49996229668993797,0
sorted,251,0.49996329423342456,0
padding,16,0.5,0
padding,16,0.5625,0
padding,16,0.625,0
padding,16,0.6875,0
padding,16,0.75,0
padding,16,0.8125,0
padding,16,0.875,0
padding,16,0.9375,0
padding,16,1.0,0
padding,16,1.0625,0
padding,16,1.125,0
padding,16,1.1875,0
padding,16,1.25,0
padding,16,1.3125,0
padding,16,1.375,0
padding,16,1.4375,0
